ark_id,collection_en,acquisition_type_en,area_cm2,area_quartile,collection_age_band,is_on_display,creation_year
cl010053285,Paintings,Other,,,100+,0,1850.0
cl010053286,Paintings,Other,,,100+,0,1826.0
cl010053287,Paintings,Purchase,,,100+,0,1850.0
cl010053288,Paintings,Other,,,100+,0,1823.0
cl010053291,Paintings,Other,,,100+,0,1839.0
cl010053296,Paintings,Other,,,,0,1762.0
cl010053298,Paintings,Historic Collection,,,,0,1702.5
cl010053299,Paintings,Historic Collection,,,,0,1702.5
cl010053300,Paintings,Gift,,,100+,0,1886.0
cl010053301,Paintings,Other,,,100+,0,1847.0
cl010053302,Paintings,Historic Collection,,,,0,1767.0
cl010053304,Paintings,Other,,,100+,0,1818.0
cl010053305,Paintings,Other,,,100+,0,1818.0
cl010053306,Paintings,Other,,,100+,0,1806.0
cl010053309,Paintings,Gift,,,,0,1781.0
cl010053312,Paintings,Other,,,,0,1763.0
cl010053313,Paintings,Other,,,,0,1763.0
cl010053314,Paintings,Purchase,,,61-80,0,1755.0
cl010053318,Paintings,Purchase,,,,0,1846.0
cl010053319,Paintings,Other,,,100+,0,1827.0
cl010053320,Paintings,Other,,,100+,0,1843.0
cl010053321,Paintings,Historic Collection,,,,0,1660.0
cl010053325,Paintings,Other,,,100+,0,1843.0
cl010053327,Paintings,Other,,,,0,1779.0
cl010053328,Paintings,Historic Collection,,,,0,1773.0
cl010053336,Paintings,Other,,,100+,0,1869.0
cl010053342,Paintings,Gift,,,,0,1850.0
cl010053344,Paintings,Bequest,,,100+,0,1865.0
cl010053345,Paintings,Bequest,,,100+,0,1650.0
cl010053346,Paintings,Gift,,,81-100,0,1440.0
cl010053347,Paintings,Gift,,,100+,0,1837.0
cl010053349,Paintings,Gift,,,81-100,0,1400.0
cl010053350,Paintings,Purchase,,,100+,0,1847.0
cl010053351,Paintings,Other,,,100+,0,1828.0
cl010053354,Paintings,Bequest,,,100+,0,1650.0
cl010053355,Paintings,Bequest,,,100+,0,1650.0
cl010053356,Paintings,Bequest,,,100+,0,1650.0
cl010053357,Paintings,Bequest,,,100+,0,1650.0
cl010053358,Paintings,Bequest,,,100+,0,1656.0
cl010053359,Paintings,Bequest,,,100+,0,1660.0
cl010053360,Paintings,Bequest,,,100+,0,1656.5
cl010053361,Paintings,Bequest,,,100+,0,1650.0
cl010053362,Paintings,Bequest,,,100+,0,1650.0
cl010053363,Paintings,Bequest,,,100+,0,1650.0
cl010053364,Paintings,Gift,,,81-100,0,1450.0
cl010053365,Paintings,Gift,,,61-80,0,1350.0
cl010053366,Paintings,Bequest,,,100+,0,1650.0
cl010053367,Paintings,Bequest,,,100+,0,1650.0
cl010053368,Paintings,Bequest,,,100+,0,1650.0
cl010053369,Paintings,MNR Recovery,,,61-80,0,1650.0
cl010053370,Paintings,MNR Recovery,,,61-80,0,1650.0
cl010053371,Paintings,MNR Recovery,,,61-80,0,1750.0
cl010053372,Paintings,Purchase,,,,0,1550.0
cl010053373,Paintings,Historic Collection,,,,0,1627.5
cl010053378,Paintings,Historic Collection,,,,0,1750.0
cl010053379,Paintings,Historic Collection,,,,1,1640.0
cl010053380,Paintings,Historic Collection,,,,0,1650.0
cl010053382,Paintings,Purchase,,,,0,1550.0
cl010053383,Paintings,Purchase,,,,0,1550.0
cl010053384,Paintings,Purchase,,,,0,1550.0
cl010053385,Paintings,Purchase,,,,0,1550.0
cl010053386,Paintings,Purchase,,,,0,1350.0
cl010053387,Paintings,Purchase,,,,0,1450.0
cl010053388,Paintings,Purchase,,,,0,1450.0
cl010053389,Paintings,Purchase,,,,0,1450.0
cl010053390,Paintings,Purchase,,,,0,1450.0
cl010053391,Paintings,Purchase,,,,0,1450.0
cl010053392,Paintings,Purchase,,,,0,1450.0
cl010053393,Paintings,Purchase,,,,0,1450.0
cl010053394,Paintings,Purchase,,,,0,1450.0
cl010053395,Paintings,Gift,,,,0,1450.0
cl010053396,Paintings,Purchase,,,,0,1450.0
cl010053397,Paintings,Purchase,,,,0,1450.0
cl010053398,Paintings,Purchase,,,,0,1450.0
cl010053399,Paintings,Purchase,,,,0,1450.0
cl010053400,Paintings,Gift,,,,0,1494.0
