ark_id,collection,acquisition_type_en,area_cm2,area_quartile,collection_age_band,is_on_display,creation_year
cl010053068,Département des Peintures,Purchase,,,81-100,0,1750.0
cl010053069,Département des Peintures,Purchase,,,100+,0,1843.0
cl010053070,Département des Peintures,Other,,,,0,1757.0
cl010053072,Département des Peintures,Purchase,,,61-80,0,1730.0
cl010053075,Département des Peintures,Other,,,,0,1773.0
cl010053076,Département des Peintures,Other,,,,0,1774.0
cl010053077,Département des Peintures,Bequest,,,100+,0,1650.0
cl010053078,Département des Peintures,Historic Collection,,,,0,1650.0
cl010053079,Département des Peintures,Gift,,,100+,0,1648.0
cl010053080,Département des Peintures,Gift,,,100+,0,1646.0
cl010053081,Département des Peintures,Gift,,,,0,1715.0
cl010053082,Département des Peintures,Gift,,,100+,0,1685.0
cl010053083,Département des Peintures,Historic Collection,,,,0,1650.0
cl010053084,Département des Peintures,Gift,,,100+,0,1678.0
cl010053086,Département des Peintures,Historic Collection,,,,0,1640.0
cl010053087,Département des Peintures,Gift,,,100+,0,1750.0
cl010053088,Département des Peintures,Gift,,,,0,1638.0
cl010053089,Département des Peintures,Gift,,,,0,1637.0
cl010053090,Département des Peintures,Purchase,,,,0,1850.0
cl010053091,Département des Peintures,Bequest,,,81-100,0,1841.0
cl010053092,Département des Peintures,Gift,,,100+,0,1644.0
cl010053093,Département des Peintures,Gift,,,100+,0,1672.0
cl010053094,Département des Peintures,Bequest,,,,0,1842.0
cl010053096,Département des Peintures,Other,,,100+,0,1817.0
cl010053097,Département des Peintures,Other,,,100+,0,1850.0
cl010053099,Département des Peintures,Other,,,100+,0,1850.0
cl010053100,Département des Peintures,Historic Collection,,,,0,1616.5
cl010053101,Département des Peintures,Gift,,,100+,0,1680.0
cl010053102,Département des Peintures,Historic Collection,,,,0,1679.0
cl010053103,Département des Peintures,Historic Collection,,,,0,1714.0
cl010053104,Département des Peintures,Historic Collection,,,,0,1711.0
cl010053106,Département des Peintures,Purchase,,,,0,1850.0
cl010053107,Département des Peintures,Other,,,,0,1757.0
cl010053108,Département des Peintures,Historic Collection,,,,0,1650.0
cl010053109,Département des Peintures,Other,,,,0,1741.0
cl010053112,Département des Peintures,Historic Collection,,,100+,0,1693.0
cl010053113,Département des Peintures,Gift,,,,0,1651.5
cl010053114,Département des Peintures,Other,,,,0,1781.0
