object_id,department,acquisition_type,area_cm2,area_quartile,collection_age_band,is_on_display,creation_year
36309,Asian Art,Gift,1168.0200000000002,Q2,1900-1950,0,1933.0
36310,Asian Art,Gift,4336.2,Q3,1900-1950,0,1911.0
36311,Asian Art,Gift,4336.2,Q3,1900-1950,0,1924.0
36312,Asian Art,Gift,956.0400000000001,Q1 (smallest),1900-1950,0,1933.0
36313,Asian Art,Gift,1076.6599999999999,Q2,1900-1950,0,1933.0
36314,Asian Art,Gift,9322.74,Q4 (largest),1900-1950,0,1933.0
36315,Asian Art,Gift,4294.25,Q3,1900-1950,0,1937.0
36316,Asian Art,Gift,5268.48,Q3,1900-1950,0,1934.0
36317,Asian Art,Gift,2760.9399999999996,Q2,1950-2000,0,1962.0
36318,Asian Art,Gift,909.3199999999998,Q1 (smallest),1900-1950,0,1934.0
36319,Asian Art,Gift,961.18,Q1 (smallest),1900-1950,0,1940.0
36320,Asian Art,Gift,934.7199999999999,Q1 (smallest),1900-1950,0,1945.0
36321,Asian Art,Gift,938.74,Q1 (smallest),1900-1950,0,1942.0
36322,Asian Art,Gift,1384.7,Q2,1900-1950,0,1942.0
36323,Asian Art,Gift,938.74,Q1 (smallest),1950-2000,0,1957.0
36324,Asian Art,Gift,1981.45695276,Q2,1900-1950,0,1943.0
36325,Asian Art,Gift,909.58,Q1 (smallest),1900-1950,0,1942.0
36326,Asian Art,Gift,1677.9,Q2,1900-1950,0,1936.0
36327,Asian Art,Gift,919.48,Q1 (smallest),1900-1950,0,1927.0
36328,Asian Art,Gift,1001.6999999999999,Q1 (smallest),1900-1950,0,1926.0
36329,Asian Art,Gift,918.2699999999999,Q1 (smallest),1900-1950,0,1936.0
36330,Asian Art,Gift,907.8000000000001,Q1 (smallest),1900-1950,0,1936.0
36331,Asian Art,Gift,8977.82,Q4 (largest),1900-1950,0,1936.0
36332,Asian Art,Gift,1614.4499999999998,Q2,1900-1950,0,1932.0
36333,Asian Art,Gift,878.5,Q1 (smallest),1900-1950,0,1933.0
36334,Asian Art,Gift,961.18,Q1 (smallest),1900-1950,0,1943.0
36335,Asian Art,Gift,2148.3900000000003,Q2,1900-1950,0,1947.0
36336,Asian Art,Gift,3064.84,Q2,1900-1950,0,1945.0
36337,Asian Art,Gift,2139.42,Q2,1900-1950,0,1943.0
36338,Asian Art,Gift,904.24,Q1 (smallest),1900-1950,0,1942.0
36339,Asian Art,Gift,3012.24,Q2,1900-1950,0,1938.0
36340,Asian Art,Gift,11522.1,Q4 (largest),1900-1950,0,1931.0
36341,Asian Art,Gift,5637.6,Q3,1900-1950,0,1932.0
36342,Asian Art,Gift,3667.5199999999995,Q3,1900-1950,0,1925.0
36343,Asian Art,Gift,2200.71,Q2,1900-1950,0,1947.0
36344,Asian Art,Gift,4890.56,Q3,1900-1950,0,1946.0
36345,Asian Art,Gift,922.35,Q1 (smallest),1900-1950,0,1938.0
36346,Asian Art,Gift,919.48,Q1 (smallest),1900-1950,0,1938.0
36347,Asian Art,Gift,934.7199999999999,Q1 (smallest),1950-2000,0,1963.0
36348,Asian Art,Gift,1033.95,Q1 (smallest),1950-2000,0,1978.0
36349,Asian Art,Gift,909.58,Q1 (smallest),1900-1950,0,1947.0
