object_id,object_id,title,artist_name,artist_nationality,artist_begin_date,artist_end_date,object_begin_date,object_end_date,medium,dimensions,department,culture,period,credit_line,accession_year,is_public_domain,is_highlight,height_cm,width_cm,gallery_number,is_on_display,tags
36009,36009,,Unidentified artist, ,          ,          ,1167,1199,Fan mounted as an album leaf; ink on silk,9 3/5 x 9 3/8 in. (24.4 x 23.8 cm),Asian Art,China,Yuan dynasty (1271–1368) (?),"John Stewart Kennedy Fund, 1913",1913,True,False,24.4,23.8,,0,Gibbons
36009,36009,,Unidentified artist, ,          ,          ,1167,1199,Fan mounted as an album leaf; ink on silk,9 3/5 x 9 3/8 in. (24.4 x 23.8 cm),Asian Art,China,Yuan dynasty (1271–1368) (?),"John Stewart Kennedy Fund, 1913",1913,True,False,24.4,23.8,,0,Gibbons
36010,36010,明  佚名  遊行天王圖  軸|Journey of the Tianwang (Devaradja),Unidentified artist, ,          ,          ,1500,1699,Hanging scroll; ink and color on silk,"Image: 47 3/4 × 20 3/4 in. (121.3 × 52.7 cm)
Overall with mounting: 9 ft. 5 1/2 in. × 28 1/8 in. (288.3 × 71.4 cm)
Overall with knobs: 9 ft. 5 1/2 in. × 32 1/2 in. (288.3 × 82.6 cm)",Asian Art,China,Ming dynasty (1368–1644),"John Stewart Kennedy Fund, 1913",1913,True,False,,,,0,Men|Elephants
36010,36010,明  佚名  遊行天王圖  軸|Journey of the Tianwang (Devaradja),Unidentified artist, ,          ,          ,1500,1699,Hanging scroll; ink and color on silk,"Image: 47 3/4 × 20 3/4 in. (121.3 × 52.7 cm)
Overall with mounting: 9 ft. 5 1/2 in. × 28 1/8 in. (288.3 × 71.4 cm)
Overall with knobs: 9 ft. 5 1/2 in. × 32 1/2 in. (288.3 × 82.6 cm)",Asian Art,China,Ming dynasty (1368–1644),"John Stewart Kennedy Fund, 1913",1913,True,False,,,,0,Men|Elephants
36011,36011,明　佚名　舊傳夏珪　長江萬里圖　卷 (前半) |First half of Ten Thousand Li of the Yangzi River,Unidentified artist, ,          ,          ,1467,1499,Handscroll; ink and color on silk,Image: 23 3/8 in. × 17 ft. 1 3/8 in. (59.4 × 521.7 cm),Asian Art,China,Ming dynasty (1368–1644),"John Stewart Kennedy Fund, 1913",1913,True,False,,,,0,Mountains|Landscapes
36011,36011,明　佚名　舊傳夏珪　長江萬里圖　卷 (前半) |First half of Ten Thousand Li of the Yangzi River,Unidentified artist, ,          ,          ,1467,1499,Handscroll; ink and color on silk,Image: 23 3/8 in. × 17 ft. 1 3/8 in. (59.4 × 521.7 cm),Asian Art,China,Ming dynasty (1368–1644),"John Stewart Kennedy Fund, 1913",1913,True,False,,,,0,Mountains|Landscapes
36012,36012,明 佚名 人物山水  軸|Scholar Admiring Autumn Scenery,Unidentified artist, ,          ,          ,1467,1533,Hanging scroll; ink and color on silk,Image: 88 1/4 x 48 in. (224.2 x 121.9 cm),Asian Art,China,Ming dynasty (1368–1644),"John Stewart Kennedy Fund, 1913",1913,True,False,,,,0,Landscapes
36012,36012,明 佚名 人物山水  軸|Scholar Admiring Autumn Scenery,Unidentified artist, ,          ,          ,1467,1533,Hanging scroll; ink and color on silk,Image: 88 1/4 x 48 in. (224.2 x 121.9 cm),Asian Art,China,Ming dynasty (1368–1644),"John Stewart Kennedy Fund, 1913",1913,True,False,,,,0,Landscapes
36013,36013,明   傳仇英   文玉圖	軸圖  軸|Lady in a Bamboo Grove,Qiu Ying,Chinese,1485      ,1562      ,1495,1552,Hanging scroll; ink and color on silk,"Image: 49 × 17 1/2 in. (124.5 × 44.5 cm)
Overall with mounting: 9 ft. 5 1/8 in. × 25 3/8 in. (287.3 × 64.5 cm)
Overall with knobs: 9 ft. 5 1/8 in. × 29 1/2 in. (287.3 × 74.9 cm)",Asian Art,China,Ming dynasty (1368–1644),"John Stewart Kennedy Fund, 1913",1913,True,False,,,,0,Women|Bamboo
36013,36013,明   傳仇英   文玉圖	軸圖  軸|Lady in a Bamboo Grove,Qiu Ying,Chinese,1485      ,1562      ,1495,1552,Hanging scroll; ink and color on silk,"Image: 49 × 17 1/2 in. (124.5 × 44.5 cm)
Overall with mounting: 9 ft. 5 1/8 in. × 25 3/8 in. (287.3 × 64.5 cm)
Overall with knobs: 9 ft. 5 1/8 in. × 29 1/2 in. (287.3 × 74.9 cm)",Asian Art,China,Ming dynasty (1368–1644),"John Stewart Kennedy Fund, 1913",1913,True,False,,,,0,Women|Bamboo
